Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0410.21:47:21.091 0410.21:47:21.091 0     192.168.0.16    138   0     192.168.0.255   138   17  0  1          229       
0410.21:47:43.569 0410.21:47:43.588 0     192.168.0.1     53    0     192.168.0.36    3075  17  0  1          181       
0410.21:47:43.569 0410.21:47:43.588 0     192.168.0.36    3075  0     192.168.0.1     53    17  0  1          70        
0410.21:47:43.572 0410.21:47:43.596 0     192.168.0.1     53    0     192.168.0.36    65153 17  0  1          193       
0410.21:47:43.572 0410.21:47:43.596 0     192.168.0.36    65153 0     192.168.0.1     53    17  0  1          70        
0410.21:47:46.409 0410.21:47:46.632 0     192.168.0.1     53    0     192.168.0.36    38202 17  0  1          107       
0410.21:47:46.409 0410.21:47:46.632 0     192.168.0.36    38202 0     192.168.0.1     53    17  0  1          61        
0410.21:47:46.421 0410.21:47:46.632 0     192.168.0.1     53    0     192.168.0.36    55291 17  0  1          136       
0410.21:47:46.421 0410.21:47:46.632 0     192.168.0.36    55291 0     192.168.0.1     53    17  0  1          61        
0410.21:47:48.123 0410.21:47:48.142 0     192.168.0.1     53    0     192.168.0.36    31895 17  0  1          174       
0410.21:47:48.123 0410.21:47:48.142 0     192.168.0.36    31895 0     192.168.0.1     53    17  0  1          71        
0410.21:47:48.124 0410.21:47:48.147 0     192.168.0.1     53    0     192.168.0.36    49995 17  0  1          186       
0410.21:47:48.124 0410.21:47:48.147 0     192.168.0.36    49995 0     192.168.0.1     53    17  0  1          71        
0410.21:47:48.454 0410.21:47:48.470 0     192.168.0.1     53    0     192.168.0.36    7518  17  0  1          159       
0410.21:47:48.454 0410.21:47:48.470 0     192.168.0.36    7518  0     192.168.0.1     53    17  0  1          60        
0410.21:47:48.455 0410.21:47:48.475 0     192.168.0.1     53    0     192.168.0.36    59162 17  0  1          183       
0410.21:47:48.455 0410.21:47:48.475 0     192.168.0.36    59162 0     192.168.0.1     53    17  0  1          60        
0410.21:47:48.676 0410.21:47:48.693 0     192.168.0.1     53    0     192.168.0.36    19825 17  0  1          181       
0410.21:47:48.676 0410.21:47:48.693 0     192.168.0.36    19825 0     192.168.0.1     53    17  0  1          70        
0410.21:47:48.676 0410.21:47:48.712 0     192.168.0.1     53    0     192.168.0.36    37316 17  0  1          193       
0410.21:47:48.676 0410.21:47:48.712 0     192.168.0.36    37316 0     192.168.0.1     53    17  0  1          70        
0410.21:47:49.786 0410.21:47:49.805 0     192.168.0.1     53    0     192.168.0.36    12127 17  0  1          153       
0410.21:47:49.786 0410.21:47:49.805 0     192.168.0.36    12127 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.787 0410.21:47:49.814 0     192.168.0.1     53    0     192.168.0.36    42736 17  0  1          153       
0410.21:47:49.787 0410.21:47:49.814 0     192.168.0.36    42736 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.821 0410.21:47:49.837 0     192.168.0.1     53    0     192.168.0.36    50588 17  0  1          153       
0410.21:47:49.821 0410.21:47:49.837 0     192.168.0.36    50588 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.828 0410.21:47:49.844 0     192.168.0.1     53    0     192.168.0.36    41210 17  0  1          153       
0410.21:47:49.828 0410.21:47:49.844 0     192.168.0.36    41210 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.848 0410.21:47:49.865 0     192.168.0.1     53    0     192.168.0.36    27231 17  0  1          153       
0410.21:47:49.848 0410.21:47:49.865 0     192.168.0.36    27231 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.851 0410.21:47:49.870 0     192.168.0.1     53    0     192.168.0.36    31634 17  0  1          153       
0410.21:47:49.851 0410.21:47:49.870 0     192.168.0.36    31634 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.871 0410.21:47:49.890 0     192.168.0.1     53    0     192.168.0.36    4465  17  0  1          153       
0410.21:47:49.871 0410.21:47:49.890 0     192.168.0.36    4465  0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.874 0410.21:47:49.894 0     192.168.0.1     53    0     192.168.0.36    5982  17  0  1          153       
0410.21:47:49.874 0410.21:47:49.894 0     192.168.0.36    5982  0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.894 0410.21:47:49.912 0     192.168.0.1     53    0     192.168.0.36    17678 17  0  1          153       
0410.21:47:49.894 0410.21:47:49.912 0     192.168.0.36    17678 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.895 0410.21:47:49.916 0     192.168.0.1     53    0     192.168.0.36    20493 17  0  1          153       
0410.21:47:49.895 0410.21:47:49.916 0     192.168.0.36    20493 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.916 0410.21:47:49.936 0     192.168.0.1     53    0     192.168.0.36    14812 17  0  1          153       
